evolution$generation,maxNewLinksNumber,densityConf,breakdownHierarchy,breakdownThreshold,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,nwSize,breakdownThreshold,densityConf,meanPathLength,maxNewLinksNumber,replication,breakdownHierarchy,nwLength,meanRelativeSpeed,meanClosenessCentrality
4500,10.0,43,1.0478100787048443,1.0,1.1342763341457633,0.5447810369829449,0.05153738644304682,0.039364821116563004,0.7686617463424781,729.0113691583438,1,"[1.1342763341457633]","[0.05153738644304682]","[121.0]","[1.0]","[43]","[0.5447810369829449]","[10.0]","[-1169058840]","[1.0478100787048443]","[729.0113691583438]","[0.7686617463424781]","[0.039364821116563004]"
4500,7.925880173023802,31,2.757906037073535,1.0,1.1534497531636125,0.503241453595657,0.04267975482324203,0.07604320074204236,0.8332007292275887,760.7895979721189,1,"[1.1534497531636125]","[0.04267975482324203]","[103.0]","[1.0]","[31]","[0.503241453595657]","[7.925880173023802]","[-849983427]","[2.757906037073535]","[760.7895979721189]","[0.8332007292275887]","[0.07604320074204236]"
4500,4.3034417943759475,46,0.890375747065111,2.9380055107370646,1.9223894375046415,0.7714611587845369,0.13023569023569023,0.022908309654469054,0.5368978260147055,382.7889527130443,1,"[1.9223894375046415]","[0.13023569023569023]","[100.0]","[2.9380055107370646]","[46]","[0.7714611587845369]","[4.3034417943759475]","[1092141728]","[0.890375747065111]","[382.7889527130443]","[0.5368978260147055]","[0.022908309654469054]"
4500,2.7005483970150834,39,0.8388510581375684,1.013664917507472,1.1192453695841704,0.523365916819174,0.04831941541092909,0.07111036138428833,0.8435104403921556,765.9034099069036,2,"[1.0769600967299624,1.1615306424383784]","[0.04735883424408015,0.04927999657777802]","[110.0,105.0]","[1.013664917507472,1.013664917507472]","[39,39]","[0.5165851552636853,0.5301466783746627]","[2.7005483970150834,2.7005483970150834]","[968966043,1545331009]","[0.8388510581375684,0.8388510581375684]","[847.1881071945724,684.6187126192349]","[0.8466258273448632,0.8403950534394481]","[0.06288968328441955,0.07933103948415714]"
4500,8.362881278094799,38,3.6576484668514797,1.0,1.0824725707471423,0.48461010059026877,0.043290374950976374,0.0385009531208968,0.795514366852798,860.3823763705312,1,"[1.0824725707471423]","[0.043290374950976374]","[150.0]","[1.0]","[38]","[0.48461010059026877]","[8.362881278094799]","[-1740626025]","[3.6576484668514797]","[860.3823763705312]","[0.795514366852798]","[0.0385009531208968]"
4500,2.971500619069135,31,1.0612761913743596,1.1521651924856346,1.27668024597044,0.5353635409198979,0.0801162807662567,0.041759075394043776,0.732650921887729,481.1412919992258,1,"[1.27668024597044]","[0.0801162807662567]","[101.0]","[1.1521651924856346]","[31]","[0.5353635409198979]","[2.971500619069135]","[451348495]","[1.0612761913743596]","[481.1412919992258]","[0.732650921887729]","[0.041759075394043776]"
4500,7.380668931938772,18,0.36429291322610635,1.558626367343018,1.4436049728046814,0.5890542572071729,0.07670408870408871,0.03059691807861196,0.7057386189762032,511.9938648535915,1,"[1.4436049728046814]","[0.07670408870408871]","[112.0]","[1.558626367343018]","[18]","[0.5890542572071729]","[7.380668931938772]","[315145128]","[0.36429291322610635]","[511.9938648535915]","[0.7057386189762032]","[0.03059691807861196]"
4500,5.060157939650299,26,0.1,1.2031740932608685,1.1735898954848407,0.5360004145820119,0.07085888690162837,0.033736566572497906,0.7291214427137483,553.219252397987,2,"[1.236776968453822,1.1104028225158595]","[0.07109297474634967,0.07062479905690708]","[108.0,107.0]","[1.2031740932608685,1.2031740932608685]","[26,26]","[0.5167632612890306,0.5552375678749932]","[5.060157939650299,5.060157939650299]","[854778652,1354402413]","[0.1,0.1]","[554.3145162457349,552.1239885502392]","[0.7418820436569298,0.7163608417705669]","[0.03527411393305654,0.032199019211939274]"
4500,4.872434294783385,43,0.5766766875347052,1.0215811795828569,1.3671142513677885,0.634917700442631,0.07413853209273667,0.025639401417946017,0.6694820921711236,546.2737001748611,1,"[1.3671142513677885]","[0.07413853209273667]","[114.0]","[1.0215811795828569]","[43]","[0.634917700442631]","[4.872434294783385]","[510202693]","[0.5766766875347052]","[546.2737001748611]","[0.6694820921711236]","[0.025639401417946017]"
4500,2.308717293144727,18,0.3726077805590372,1.6616229856655687,1.4315170457432145,0.6369256806630186,0.09488094904284279,0.027690220258034443,0.6570601670890601,427.18620225032987,2,"[1.274467897028959,1.5885661944574698]","[0.08639422743356691,0.10336767065211867]","[105.0,100.0]","[1.6616229856655687,1.6616229856655687]","[18,18]","[0.6156562858516745,0.6581950754743627]","[2.308717293144727,2.308717293144727]","[-1718149623,2137935008]","[0.3726077805590372,0.3726077805590372]","[482.2255157936176,372.14688870704214]","[0.6824815736625939,0.6316387605155265]","[0.028316063917171615,0.02706437659889727]"
