evolution$generation,maxNewLinksNumber,densityConf,bioThreshold,bioSteps,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,bioThreshold,nwDiameter,bioSteps,meanBwCentrality,nwSize,densityConf,nwLength,meanPathLength,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
5500,5.33359182940364,7,0.5345486582993858,100.0,1.1368328687684353,0.49091895230750654,0.02948651675712932,0.026229188337079826,0.8035293506826175,764.1725016657459,1,"[0.5345486582993858]","[1.1368328687684353]","[100.0]","[0.02948651675712932]","[155.0]","[7]","[764.1725016657459]","[0.49091895230750654]","[5.33359182940364]","[-776473815]","[0.8035293506826175]","[0.026229188337079826]"
5500,7.767473566470864,39,0.5858814569353864,56.89617770267013,1.0995659241155704,0.5939791672561381,0.04718945682248434,0.04313941992034837,0.7926268152064722,616.549235383078,1,"[0.5858814569353864]","[1.0995659241155704]","[56.89617770267013]","[0.04718945682248434]","[112.0]","[39]","[616.549235383078]","[0.5939791672561381]","[7.767473566470864]","[2096308243]","[0.7926268152064722]","[0.04313941992034837]"
5500,7.5780237249031295,21,0.4311258188812665,63.91888242866689,1.5695874224649002,0.5514759698551084,0.04645937522649851,0.02908237569401117,0.8003781479600464,607.6027747261584,1,"[0.4311258188812665]","[1.5695874224649002]","[63.91888242866689]","[0.04645937522649851]","[128.0]","[21]","[607.6027747261584]","[0.5514759698551084]","[7.5780237249031295]","[-1164294665]","[0.8003781479600464]","[0.02908237569401117]"
5500,4.0923680834233505,6,0.5880334448085672,100.0,1.5824387289668584,0.47601342836530613,0.04738541881399024,0.030151389889071022,0.7568771370747227,587.7032891470716,1,"[0.5880334448085672]","[1.5824387289668584]","[100.0]","[0.04738541881399024]","[119.0]","[6]","[587.7032891470716]","[0.47601342836530613]","[4.0923680834233505]","[-352739217]","[0.7568771370747227]","[0.030151389889071022]"
5500,7.278795756910237,17,0.46858737426360036,57.281730241540586,1.3442924558801097,0.5209204986993694,0.051375927255324236,0.036087978108739135,0.8001557241636308,543.1166247962382,1,"[0.46858737426360036]","[1.3442924558801097]","[57.281730241540586]","[0.051375927255324236]","[118.0]","[17]","[543.1166247962382]","[0.5209204986993694]","[7.278795756910237]","[228259638]","[0.8001557241636308]","[0.036087978108739135]"
5500,6.778498498615077,31,0.4123462900013312,57.300818381698775,1.108489667136121,0.5030619197861762,0.037659942025590726,0.029790134795417717,0.8229768108885459,721.7474647137358,1,"[0.4123462900013312]","[1.108489667136121]","[57.300818381698775]","[0.037659942025590726]","[166.0]","[31]","[721.7474647137358]","[0.5030619197861762]","[6.778498498615077]","[-1362801424]","[0.8229768108885459]","[0.029790134795417717]"
5500,8.365112806447712,48,0.5528146020324094,50.82893122419122,1.6834093271060075,0.5684151481046044,0.04262891919795686,0.02924784736217595,0.7500111655394277,677.9649129958578,1,"[0.5528146020324094]","[1.6834093271060075]","[50.82893122419122]","[0.04262891919795686]","[141.0]","[48]","[677.9649129958578]","[0.5684151481046044]","[8.365112806447712]","[-722468981]","[0.7500111655394277]","[0.02924784736217595]"
5500,8.276131664562726,20,0.461905077557464,99.9990344133025,1.09044036936207,0.47266876246372636,0.04523809523809524,0.02955556889603768,0.7890644272466151,647.8525537740111,1,"[0.461905077557464]","[1.09044036936207]","[99.9990344133025]","[0.04523809523809524]","[122.0]","[20]","[647.8525537740111]","[0.47266876246372636]","[8.276131664562726]","[388503370]","[0.7890644272466151]","[0.02955556889603768]"
5500,5.10462276105358,20,0.5352556357402162,100.0,1.316752982845061,0.5174762883804683,0.0360180420557779,0.029653174728618073,0.7371549854424652,678.5948242101967,1,"[0.5352556357402162]","[1.316752982845061]","[100.0]","[0.0360180420557779]","[145.0]","[20]","[678.5948242101967]","[0.5174762883804683]","[5.10462276105358]","[-528480217]","[0.7371549854424652]","[0.029653174728618073]"
5500,7.936901359177506,34,0.5795288075462393,52.13275882105012,1.4187480437208666,0.6057913784463725,0.04439887597782334,0.03664099374277328,0.7198158680691941,641.7592880036018,1,"[0.5795288075462393]","[1.4187480437208666]","[52.13275882105012]","[0.04439887597782334]","[106.0]","[34]","[641.7592880036018]","[0.6057913784463725]","[7.936901359177506]","[1940947709]","[0.7198158680691941]","[0.03664099374277328]"
